cme_date,cme_width,cme_speed,cme_accel,cme_mpa,cme_sector,flare_start,flare_peak,flare_end,flare_multid,flare_class,flare_bgflux,flare_peakflux,flare_integratedflux,flare_x,flare_y,time_delta,who_first,cycle,flare_x_arcsec,flare_y_arcsec
2011-01-28 01:25:46,119.0,606.0,-20.9,290,4,2011-01-28 00:53:16,2011-01-28 01:03:28,2011-01-28 02:47:16,165905,M,1.6304e-06,1.911e-05,0.022757,113.00817008014248,78.75579919857525,0 days 00:32:30,flare,0,1142.415439965806,485.7826931419413
2011-02-18 04:48:05,12.0,471.0,53.6,221,3,2011-02-18 07:09:28,2011-02-18 07:24:40,2011-02-18 08:52:04,166302,M,2.2746e-06,1.0759e-05,0.024117,60.81142839301326,86.01727060250852,-1 days +21:38:37,cme,0,141.7813528311301,624.9882369109887
2011-02-18 05:24:07,144.0,346.0,-3.0,281,3,2011-02-18 07:09:28,2011-02-18 07:24:40,2011-02-18 08:52:04,166302,M,2.2746e-06,1.0759e-05,0.024117,60.81142839301326,86.01727060250852,-1 days +22:14:39,cme,0,141.7813528311301,624.9882369109887
2011-02-18 12:12:05,89.0,350.0,93.8,272,4,2011-02-18 13:54:04,2011-02-18 14:09:28,2011-02-18 14:25:28,166309,M,1.6454e-06,1.2913e-05,0.010283,64.61453026657128,85.61592490624119,-1 days +22:18:01,cme,0,214.6884586872468,617.2942665322032
2011-02-18 17:12:06,99.0,259.0,1.7,310,4,2011-02-18 13:54:04,2011-02-18 14:09:28,2011-02-18 14:25:28,166309,M,1.6454e-06,1.2913e-05,0.010283,64.61453026657128,85.61592490624119,0 days 03:18:02,flare,0,214.6884586872468,617.2942665322032
2011-02-18 17:12:06,99.0,259.0,1.7,310,4,2011-02-18 20:47:28,2011-02-18 21:04:52,2011-02-18 21:37:52,166318,M,1.8648e-06,1.88e-05,0.022901,67.65681628566661,85.64760136826297,-1 days +20:24:38,cme,0,273.0103959408643,617.9015179933924
2011-02-19 04:25:42,62.0,445.0,-27.6,258,4,2011-02-19 07:59:28,2011-02-19 08:05:52,2011-02-19 08:44:52,166338,M,1.6681e-06,1.1013e-05,0.013978,73.53043936570015,85.55720843899906,-1 days +20:26:14,cme,0,385.6102877902779,616.1686464896577
2011-03-07 12:12:05,54.0,342.0,3.5,276,3,2011-03-07 13:40:40,2011-03-07 14:10:40,2011-03-07 14:16:28,166814,M,2.1167e-06,2.5326e-05,0.029757,46.25556697890488,80.18888888888888,-1 days +22:31:25,cme,0,-137.26079860945845,513.2556416
2011-03-07 12:12:05,54.0,342.0,3.5,276,3,2011-03-07 14:16:28,2011-03-07 14:30:16,2011-03-07 14:37:52,166814,M,2.3485e-05,2.8232e-05,0.033928,46.62927553137297,79.72436895999292,-1 days +21:55:37,cme,0,-130.09664421655054,504.350593890455
2011-03-07 12:12:05,54.0,342.0,3.5,276,3,2011-03-07 14:37:52,2011-03-07 14:41:40,2011-03-07 15:09:28,166814,M,2.5695e-05,2.6708e-05,0.034507,48.20006245321014,81.3998887051768,-1 days +21:34:13,cme,0,-99.98398034498177,536.4710312301602
2011-03-07 19:00:05,46.0,38.0,0.3,243,3,2011-03-07 14:37:52,2011-03-07 14:41:40,2011-03-07 15:09:28,166814,M,2.5695e-05,2.6708e-05,0.034507,48.20006245321014,81.3998887051768,0 days 04:22:13,flare,0,-99.98398034498177,536.4710312301602
2011-03-07 20:00:05,360.0,2125.0,-63.1,313,4,2011-03-07 19:38:40,2011-03-07 20:12:16,2011-03-07 20:34:28,166822,M,3.2067e-06,5.3078e-05,0.11524,99.0114904643616,92.56819649551556,0 days 00:21:25,flare,0,874.0930451656927,750.5723162799195
2011-03-07 20:00:05,360.0,2125.0,-63.1,313,4,2011-03-07 20:34:28,2011-03-07 20:37:16,2011-03-07 21:44:52,166822,M,3.9744e-05,4.0086e-05,0.10208,100.3087549652342,94.37934756272163,-1 days +23:25:37,cme,0,898.9621660656849,785.292864655521
2011-03-07 19:00:05,46.0,38.0,0.3,243,3,2011-03-07 22:12:40,2011-03-07 22:19:04,2011-03-07 22:28:40,166824,M,9.5591e-06,1.0418e-05,0.0095171,50.73562682215744,75.9742693877551,-1 days +20:47:25,cme,0,-51.37611602845459,432.4595650476408
2011-03-08 04:12:05,260.0,732.0,-12.3,119,2,2011-03-08 02:19:04,2011-03-08 02:30:28,2011-03-08 02:47:16,166832,M,2.9879e-06,1.5069e-05,0.0097027,111.56298763118868,48.95811065553562,0 days 01:53:01,flare,0,1114.710668100544,-85.45186882957887
2011-03-08 02:48:05,8.0,364.0,20.8,51,1,2011-03-08 03:29:16,2011-03-08 03:59:40,2011-03-08 04:37:52,166835,M,2.377e-06,2.1405e-05,0.051867,18.79430312862374,48.32572074876757,-1 days +23:18:49,cme,0,-663.7050898853313,-97.5750565347621
2011-03-08 20:12:05,99.0,702.0,4.1,225,3,2011-03-08 23:08:52,2011-03-08 23:15:16,2011-03-08 23:31:52,166858,M,6.5874e-06,1.0702e-05,0.010509,62.92642026134045,77.040833990988,-1 days +21:03:13,cme,0,182.32666062344947,452.90606924752433
2011-03-09 03:24:05,27.0,234.0,-3.4,231,3,2011-03-08 23:08:52,2011-03-08 23:15:16,2011-03-08 23:31:52,166858,M,6.5874e-06,1.0702e-05,0.010509,62.92642026134045,77.040833990988,0 days 04:15:13,flare,0,182.32666062344947,452.90606924752433
2011-03-09 05:12:05,9.0,344.0,-4.9,102,2,2011-03-09 05:07:28,2011-03-09 05:19:16,2011-03-09 05:32:52,166870,M,7.3757e-06,1.0839e-05,0.013991,112.4150446194616,47.36294707734164,0 days 00:04:37,flare,0,1131.0449686543548,-116.03184373422334
2011-03-09 05:12:05,9.0,344.0,-4.9,102,2,2011-03-09 05:32:52,2011-03-09 06:56:52,2011-03-09 07:21:04,166870,M,7.9235e-06,1.2421e-05,0.024014,115.34543287279575,46.62694759882751,-1 days +23:39:13,cme,0,1187.2217773984958,-130.14127168911375
2011-03-09 23:05:57,155.0,332.0,-23.0,336,4,2011-03-09 22:07:52,2011-03-09 22:12:16,2011-03-09 22:27:16,166888,M,5.2565e-06,1.1108e-05,0.0056176,67.91770150277,76.99790452600267,0 days 00:58:05,flare,0,278.0116782551502,452.08309285822656
2011-03-09 23:05:57,155.0,332.0,-23.0,336,4,2011-03-09 23:11:16,2011-03-09 23:24:04,2011-03-09 23:59:52,166890,X,2.8671e-06,0.00020635,0.14423,74.16855400547904,77.51609681688994,-1 days +23:54:41,cme,0,397.84322110036373,462.0170629336053
2011-03-12 16:36:05,15.0,466.0,27.8,282,4,2011-03-12 15:18:40,2011-03-12 15:29:04,2011-03-12 15:52:04,166980,M,7.8968e-07,1.3085e-05,0.0090176,97.07767996971106,74.12877106028533,0 days 01:17:25,flare,0,837.0210625771081,397.080564854768
2011-03-12 16:48:05,16.0,503.0,134.2,285,4,2011-03-12 15:18:40,2011-03-12 15:29:04,2011-03-12 15:52:04,166980,M,7.8968e-07,1.3085e-05,0.0090176,97.07767996971106,74.12877106028533,0 days 01:29:25,flare,0,837.0210625771081,397.080564854768
2011-03-14 21:35:30,44.0,146.0,5.8,279,4,2011-03-14 19:44:52,2011-03-14 19:53:04,2011-03-14 21:37:52,167045,M,3.0843e-06,4.3219e-05,0.030483,100.9765686780913,81.49160979489594,0 days 01:50:38,flare,0,911.7644434366794,538.2293641435867
2011-03-23 01:36:25,46.0,342.0,3.8,27,1,2011-03-23 02:02:04,2011-03-23 02:17:40,2011-03-23 03:20:28,167235,M,9.9045e-07,2.0107e-05,0.018225,19.1495841218149,49.37539057342781,-1 days +23:34:21,cme,0,-656.8941997644677,-77.45243253866113
2011-03-23 01:48:05,15.0,489.0,-6.3,64,1,2011-03-23 02:02:04,2011-03-23 02:17:40,2011-03-23 03:20:28,167235,M,9.9045e-07,2.0107e-05,0.018225,19.1495841218149,49.37539057342781,-1 days +23:46:01,cme,0,-656.8941997644677,-77.45243253866113
2011-03-24 10:36:07,29.0,415.0,-32.3,90,1,2011-03-24 12:00:16,2011-03-24 12:07:40,2011-03-24 12:22:52,167268,M,5.316e-07,1.324e-05,0.0055846,30.975085306265044,54.80613343670586,-1 days +22:35:51,cme,0,-430.19423344204677,26.657254231296065
2011-03-24 12:48:07,191.0,540.0,6.2,92,1,2011-03-24 12:00:16,2011-03-24 12:07:40,2011-03-24 12:22:52,167268,M,5.316e-07,1.324e-05,0.0055846,30.975085306265044,54.80613343670586,0 days 00:47:51,flare,0,-430.19423344204677,26.657254231296065
2011-03-24 17:48:06,36.0,193.0,3.6,82,1,2011-03-24 17:00:28,2011-03-24 17:07:16,2011-03-24 17:15:28,167278,M,7.8789e-07,1.1285e-05,0.0044814,33.012856861814775,55.59714394824853,0 days 00:47:38,flare,0,-391.12927240484635,41.82126745411006
2011-03-25 20:57:28,20.0,238.0,-17.4,43,1,2011-03-25 23:05:04,2011-03-25 23:21:52,2011-03-25 23:57:16,167319,M,6.9043e-07,1.4377e-05,0.014066,42.96048055484254,58.0912893143487,-1 days +21:52:24,cme,0,-200.4290288360687,89.63511159304858
2011-03-26 01:25:51,12.0,339.0,-6.6,4,1,2011-03-25 23:05:04,2011-03-25 23:21:52,2011-03-25 23:57:16,167319,M,6.9043e-07,1.4377e-05,0.014066,42.96048055484254,58.0912893143487,0 days 02:20:47,flare,0,-200.4290288360687,89.63511159304858
2011-04-15 13:48:06,71.0,331.0,11.7,293,4,2011-04-15 17:01:40,2011-04-15 17:13:04,2011-04-15 17:34:52,167813,M,1.194e-06,1.8569e-05,0.020927,84.52073927600648,79.32127066344684,-1 days +20:46:26,cme,0,596.2990848804116,496.6230254072027
2011-04-15 16:48:05,78.0,126.0,8.7,306,4,2011-04-15 17:01:40,2011-04-15 17:13:04,2011-04-15 17:34:52,167813,M,1.194e-06,1.8569e-05,0.020927,84.52073927600648,79.32127066344684,-1 days +23:46:25,cme,0,596.2990848804116,496.6230254072027
2011-04-21 07:36:05,25.0,321.0,-4.4,52,1,2011-04-21 09:24:04,2011-04-21 09:48:52,2011-04-21 10:24:04,167970,M,8.1303e-07,1.2011e-05,0.015063,26.09246722544595,51.69242066050577,-1 days +22:12:01,cme,0,-523.7961313423597,-33.033964812379054
2011-04-22 01:36:07,8.0,179.0,-0.7,78,1,2011-04-22 04:15:04,2011-04-22 04:57:04,2011-04-22 06:12:04,167991,M,1.2774e-06,2.6201e-05,0.064499,32.16430527863372,51.91349968783357,-1 days +21:21:03,cme,0,-407.39637282871115,-28.795784352365217
2011-05-28 07:24:06,28.0,221.0,-20.7,90,1,2011-05-28 03:03:04,2011-05-28 03:31:40,2011-05-28 05:00:28,168626,M,1.021e-06,1.1726e-05,0.026042,18.77750256719868,45.87387443173316,0 days 04:21:02,flare,0,-664.0271639056923,-144.57800962992076
2011-05-29 15:36:07,27.0,461.0,5.4,74,1,2011-05-29 11:35:04,2011-05-29 11:39:40,2011-05-29 13:02:40,168673,M,6.1518e-06,1.0231e-05,0.0199,23.68095877921205,46.200551849896826,0 days 04:01:03,flare,0,-570.0257900283123,-138.31546239907857
2011-05-29 23:12:05,29.0,323.0,-0.6,57,1,2011-05-29 20:46:40,2011-05-29 21:22:04,2011-05-29 23:17:28,168682,M,1.3172e-06,1.2544e-05,0.039653,19.97516461740644,48.57545910538954,0 days 02:25:25,flare,0,-641.0674650132039,-92.78746435134894
2011-06-07 04:06:48,14.0,172.0,5.8,98,2,2011-06-07 06:03:28,2011-06-07 06:32:28,2011-06-07 06:35:04,168858,M,3.3048e-07,3.4777e-05,0.018678,100.97748914385365,45.04556128219074,-1 days +22:03:20,cme,0,911.7820891629847,-160.45713053792952
2011-06-07 04:06:48,14.0,172.0,5.8,98,2,2011-06-07 06:35:04,2011-06-07 06:40:28,2011-06-07 10:05:04,168858,M,3.4444e-05,3.6231e-05,0.074615,104.7791687677516,42.85459781022964,-1 days +21:31:44,cme,0,984.6619298787059,-202.45884679164362
2011-06-14 18:00:37,10.0,233.0,14.5,236,3,2011-06-14 21:30:04,2011-06-14 21:47:52,2011-06-14 21:55:16,168978,M,3.1298e-07,1.904e-05,0.013128,17.015959947348627,75.70079447160586,-1 days +20:30:33,cme,0,-697.7966969146296,427.21693276389624
2011-06-14 18:00:37,10.0,233.0,14.5,236,3,2011-06-14 21:55:16,2011-06-14 21:59:28,2011-06-14 23:59:52,168978,M,1.4254e-05,1.4907e-05,0.026426,18.92510884701971,77.89077868965252,-1 days +20:05:21,cme,0,-661.1974877556102,469.1998762970329
2011-06-21 03:16:10,360.0,719.0,-1.3,65,4,2011-06-21 01:18:04,2011-06-21 03:25:52,2011-06-21 07:28:28,169132,M,4.084e-07,1.1065e-05,0.084976,70.66040583431403,74.7938361684676,0 days 01:58:06,flare,0,330.5905051391205,409.8301502867489
2011-07-30 07:48:05,7.0,304.0,-0.2,228,3,2011-07-30 02:03:40,2011-07-30 02:10:28,2011-07-30 04:43:04,169861,X,4.2074e-07,0.00010291,0.050119,37.054709800190295,72.81895651852605,0 days 05:44:25,flare,0,-313.6452054957183,371.9708542493606
2011-08-02 06:36:05,268.0,712.0,-15.5,285,4,2011-08-02 05:57:04,2011-08-02 06:19:28,2011-08-02 07:52:28,169981,M,5.3982e-06,2.1003e-05,0.068079,75.00871535810396,73.98334671010183,0 days 00:39:01,flare,0,413.9494771798877,394.2927172384309
2011-08-02 09:36:06,15.0,518.0,-11.7,298,4,2011-08-02 05:57:04,2011-08-02 06:19:28,2011-08-02 07:52:28,169981,M,5.3982e-06,2.1003e-05,0.068079,75.00871535810396,73.98334671010183,0 days 03:39:02,flare,0,413.9494771798877,394.2927172384309
